id,name,assignment_id
85,4dKGsYvpKP85,5
86,GQfoZT0mip86,30
87,iTmqlx1Ooj87,16
88,LHvqKDFMk288,18
89,N6lOYGGiKY89,40
90,JtryRTho9n90,15
91,NZmqsDbx0E91,13
92,Y71sP6bMYK92,74
93,H0Ebe6lulR93,11
94,bFxgKP1cEP94,16
95,0qvamW6eVY95,17
96,MwurkYl29O96,95
97,3rTYRSrB5c97,24
98,bFV2bkclz598,4
99,G3r16i54yQ99,84
100,GaszL55ZeT100,47
101,clAOGxsQod101,23
102,LvsqQ8mFvP102,92
103,EtGZVJF5Pl103,35
104,kwDaYGbvYf104,35
105,NxRLCIX4ga105,5
106,k24hIaYSmM106,10
107,qW1hhmCibY107,32
108,Nj41Ak3DYc108,23
109,5VlBvB9Nux109,27
110,8dq9qQuaUX110,94
111,ZSB6Vq8eNB111,95
112,jcexlwyTvc112,51
113,5ETAEaXWOp113,61
114,i4b30ea7Kd114,75
115,vrYbbVxXn7115,86
116,gDJNe8vafE116,86
117,jlrCrFUxWC117,25
118,LkZWreL8mm118,54
119,hjSY1LxxAV119,22
120,9u7SUy45F3120,78
121,jBGzyijl2e121,4
122,Sb4lus02IW122,51
123,0rSFcgILpr123,82
124,qVH5DepBCM124,28
125,HHyvUZyiWT125,50
126,f3IJ7grwRb126,93
127,zBLbdAuqVi127,95
128,ifj4ayNU45128,51
129,PO0fetsyHZ129,88
130,R5b8neeghF130,96
131,zaOxINgC4n131,32
132,Ttyy2fJbnF132,50
133,n6IUB3sEJW133,30
134,MTHJx51vyo134,76
135,qjbjSlFuLD135,89
136,LFpz1Khe0R136,93
137,PB62P5EGEt137,25
138,qz7Xen5mCo138,45
139,RTKS5KFY2u139,67
140,8xnufyJFjC140,35
141,BRWtmqT3Dn141,48
142,TByqovlbWQ142,18
143,Zs6CVSUldo143,4
144,36dOpvYKCl144,35
145,lSOAPvEjdA145,14
146,bgg0JHzz4K146,49
147,CCaTvzrtcz147,24
148,5oV8aGPLDi148,65
149,fuHx140MJg149,69
150,KAjb9MMLk4150,71
151,WNDpgiwD9m151,11
152,KHxQnhagUV152,47
153,E7Rws96R55153,74
154,EaeotgT8Vo154,37
155,yO0vG4KjdD155,58
156,lxPa4ux955156,11
157,Fug43epw4D157,1
158,OUskYkGZRU158,22
159,QoOgML7mM9159,53
160,9oW5fkh99u160,72
161,3U4jDocwse161,8
162,8hnmP5mJ96162,59
163,3pM7HUHjQR163,93
164,VgOP7vuaHq164,31
165,EyNFWQHklS165,20
166,NPgbL7c87J166,95
167,GSAflxYnLV167,47
168,Chs1M2Avow168,37
169,lzyW89zPC2169,35
170,I9moHDhx0i170,64
171,BKMFRgRMo9171,24
172,otpll89F6N172,16
173,yM5q3c7SpN173,9
174,SwtvurpxZ3174,98
175,9nlj7xMw7U175,8
176,XyvupOmU14176,53
177,bZC1cdlGEU177,33
178,yMCDuHZhk1178,17
179,RfPOcgfava179,96
180,qCQcE28CVw180,90
181,JulZbPgtE7181,0
182,9IZrFWjdLg182,22
183,OoDy7i7sQ3183,42
184,zf85yKOxuv184,77
185,6Ma45A4M7L185,66
186,CL9xjnQrUq186,66
187,Vt5Jv82fpJ187,13
188,cqwGXNcDwV188,57
189,EKO7veZaaL189,77
190,fZ2ryotVhe190,9
191,gKxaYwd2Sx191,83
192,z7KAs9ZJub192,51
193,pyz609jtgc193,15
194,loXEgShcTi194,42
195,LTNk0FoDuy195,22
196,q3ja5y6KA3196,34
197,jU1qHsBcMn197,80
198,tQoHJtU4mi198,1
199,l5lHiXn70k199,99
200,kSYbSWZTK7200,3
201,D5MmrQ7Yti201,11
202,sNj5svG9sd202,9
203,VorLst7EGg203,53
204,th14h3FzJB204,31
205,yFHdcbAdkL205,33
206,gNCzCpugFz206,48
207,KNSWn516WE207,96
208,bGCCnJqjX4208,7
209,A0g2fXMVau209,63
210,Z8tY8YJknF210,59
211,rDSHF81nR5211,45
212,BFdqrJvkne212,55
213,4B2FzaATt6213,8
214,vh6BVUJkbm214,0
215,vw2eqHLqJr215,47
216,LkMl8QLm4j216,19
217,mvH8JmbBqu217,94
218,Of88HnQjHZ218,35
219,HTCG5R5lCw219,46
220,jKUlDkB6bT220,49
221,awSGtUwyMl221,85
222,zey6zRmmND222,73
223,q5wfuVJocy223,50
224,8ALnOS3Itz224,23
225,VpnX3IOAjZ225,29
226,1WH8wkf3gG226,72
227,a8dNlax8qn227,53
228,6ksZ70Zw1S228,18
229,IJAH8LEUdS229,60
230,nSzwzzyo7a230,66
231,jtTNvLIQqQ231,83
232,JLiOQBSI3X232,92
233,KlT0LetFd7233,24
234,OzfidZubeR234,28
235,pAJWiuQtYZ235,92
236,mIAUPAQKkN236,12
237,GzLBmdtKo7237,44
238,QP6fZ1b2Zj238,56
239,bJSZJUtaWi239,84
240,LdUGCZzQ6R240,46
241,mRqWB72XYt241,91
242,IE4Jg2KOGf242,32
243,R3kLVSI5HC243,36
244,ztj1dmdl3g244,85
245,n6hK3AWKek245,87
246,bO4MXa0g9E246,9
247,zn1UOylgXm247,91
248,mYki6ZDOsE248,95
249,2sLEfbr50T249,54
250,zeLFSL69zc250,24
251,bXcE938CwI251,15
252,a1DF9wsUnW252,74
253,R6nyzOTkad253,33
254,FATCY0dSXN254,73
255,27Qu8C9Fb2255,94
256,mGWe6p43TK256,79
257,GDfwf3K7bH257,83
258,3Q6yFLikdE258,68
259,WEf91isP87259,48
260,LaQV0uu6ec260,67
261,41Fu8TXv4C261,20
262,B6stztCKah262,16
263,px5R5F4GBH263,56
264,KCGfLyS7DL264,26
265,WwseG8QuJh265,49
266,6SvtM1Pv9h266,15
267,QQgZOkYwJO267,20
268,TxKcIVlsPO268,24
269,EUpyUSkPZf269,25
270,5h8L6u7F7C270,55
271,mRa7Kgo4HR271,30
272,k2p6Xmwcdf272,79
273,K56IhnxGTi273,25
274,N0qXLna4AN274,36
275,gVVqgnrYcb275,83
276,ck1rLUpoPz276,34
277,EfZlnztHq1277,2
278,mRw0DElREJ278,62
279,8EvszMcnJ5279,36
280,CTdMjVmi4y280,81
281,hEgPLrw1Y7281,11
282,Xt1SwJDp4R282,86
283,r1xTDAB651283,32
284,avpibAvyRK284,54
285,CSwKVBYJrl285,58
286,TwFERDHIqg286,8
287,ODmx2O2aFi287,30
288,3yxwcGppYL288,94
289,MoCPsCi7N0289,23
290,qMrsG3nATB290,64
291,J4gyqnnFU4291,14
292,JhTSBaAE1x292,46
293,aDpYomxFz8293,87
294,IrjdHgTbwT294,13
295,3HYibSPZPA295,4
296,7roe7iPmAC296,56
297,hCKmhkK15Z297,69
298,Y1UR955AQ5298,41
299,TpgVaNsgtk299,70
300,WZ8jA6fVEI300,52
301,AZpvZJT9LD301,25
302,DcS6Hu5dNn302,17
303,Pyy3oRKkhF303,8
304,26gvjgKBYF304,41
305,qGrUVuvUCI305,69
306,7K67qoHmqy306,77
307,Tnaa8CrPP2307,72
308,7zNsWLRlpi308,28
309,n8V6PzRR7k309,83
310,acKWi6HzZl310,41
311,GOliVtcRWK311,23
312,gqgzdlGnWi312,44
313,gudg9uM1zQ313,7
314,46HzkOvbMT314,19
315,7AhDbrg8Ct315,52
316,sI8vyxlBe4316,67
317,jSwEZZyi6y317,92
318,PmOrPrlldU318,20
319,iEkFSmLb4z319,53
320,j3EQXmIrJ8320,76
321,aP4ZfEWFdF321,66
322,7L9g4ZPFfS322,43
323,C2c1sFt2tX323,54
324,puoI3c5njf324,3
325,IZZ9ZdJaSc325,96
326,wQa83GBpdw326,42
327,0zhGJiJIMi327,30
328,kMhmwKtGtn328,81
329,OMjgWZRkvA329,4
330,5tJP1boNyu330,11
331,VHdPVdFiNS331,54
332,ggKi7FaaQ3332,25
333,mQsncEJTjP333,60
334,qjQDVVzpv9334,77
335,hRDAVbhTt4335,42
336,Zex60xezeF336,34
337,tNIjnJ7bfx337,12
338,x1Kf4mecSj338,98
339,oVm1uVwE1K339,37
340,CKYResbAF8340,53
341,GDtguD9RWU341,58
342,mOWn3pD9l5342,67
343,ClEXlTMslx343,82
344,Wu7zFzfBHt344,12
345,27Yd8fmGKF345,5
346,sB2r5nsmdw346,76
347,oSvulYL11H347,15
348,LuFxF0z41t348,93
349,Y0Ztlg7c9G349,18
350,bI4aIeCsgm350,52
351,dr8OW9V6G5351,41
352,ZVi0kWR1fY352,28
353,s1GSdLVT7y353,85
354,HGTVgZNrvW354,94
355,DGifQ8nWgW355,75
356,GC8HcgEbrp356,39
357,OAl569Z9Ga357,48
358,8y99cKM9D5358,89
359,XMySFMiHjk359,98
360,Hhin4yv6tP360,12
361,kE5K8XfKPY361,5
362,fuijb2YbqX362,24
363,zvpLCK8WGG363,50
364,KMJb49tXrw364,76
365,IIDQfNhDpL365,34
366,Sq18FYuFto366,19
367,QHW9QfKWMc367,0
368,20JGZUMtX0368,81
369,N9WOdWDbuE369,41
370,w7FPoH9UOd370,15
371,qUlbrzuJbk371,28
372,J4SYoqIr4Q372,60
373,utyvadsxLL373,59
374,Em026pIQMI374,72
375,LOp1DEEl68375,54
376,olUvAKx0PK376,32
377,asD3L5ofnv377,78
378,Mh6TdzryvD378,74
379,RjlvzP2oeS379,20
380,u5N6vzW0gj380,67
381,7Z3Wk5EcX5381,11
382,oyZlohMQMa382,92
383,nRJ1S99Cfa383,38
384,YSOspJr7l3384,81
385,ztpfvpWLVc385,57
386,j7fFJflSZX386,99
387,ILjZUit2m9387,42
388,SbFOTmWlQ5388,99
389,RkWUntUBdK389,74
390,R1SWduc4dM390,55
391,42KSpO0awO391,69
392,RAt330ehTS392,30
393,40do7Uqrql393,31
394,5wHmhHw0ZI394,60
395,3oNArWQHLS395,72
396,T8ggzvdhdy396,89
397,GDbWWgntqE397,20
398,7U6DFHLRsH398,88
399,Cpbe43cM2A399,43
400,JhWrpv1Lz6400,22
401,RSGBcoqPCC401,86
402,BLrfNF4DGG402,13
403,KLyLTlUynq403,95
404,LdMaelfpS3404,69
405,SvjsKUXrj4405,77
406,FYNZEf4vms406,89
407,Xp3Dr3Qfff407,76
408,nfdLRtUEO8408,36
409,dNYtFqBhOW409,67
410,S4fp5yv4vI410,80
411,ATFwSNHkm4411,12
412,44cEiOF1Ms412,3
413,dAj7nhx3AE413,82
414,4ZH6Kzcvhd414,62
415,HHkcay6ruz415,91
416,bfaMUOIVX1416,72
417,AN0nd8mvIj417,52
418,5Ni2Zckubx418,55
419,6Pr7RX7nwc419,3
420,bhe7yzUJY5420,42
421,TyynXbnkcX421,81
422,6gV9KvxV1R422,5
423,Z32Iqehsls423,62
424,AmYcVnGLBy424,14
425,qO71SUh25p425,59
426,Gq6tUZeDf2426,71
427,KnbWpwbl7i427,37
428,fhmVYo2Rjd428,85
429,wEmKYghKTP429,70
430,XBPE5XMYDu430,9
431,6Kq2ezSfZ4431,15
432,GHHrKrRaCY432,58
433,UGteDlq4Pp433,25
434,zj9u2rMmad434,31
435,F7dQbCBkEY435,51
436,z62jKpqqW0436,42
437,ctZmQpCFtH437,22
438,420O9meA22438,57
439,x0F4YConvW439,52
440,G1vq1B2wXE440,34
441,VfcyLfwaWv441,91
442,ClXrKlSmQV442,41
443,jazt7ta26A443,17
444,ALBeGzx8zw444,65
445,7JPE7z6NNt445,36
446,tFdQMhQUF4446,84
447,NakF5Nltka447,5
448,EXbiKpgHJJ448,86
449,Q27Y61TEts449,76
450,gbWGqae1kT450,41
451,B4rCnBefNq451,77
452,MrtVfPFkWU452,14
453,2swLOQ6ohN453,22
454,76NmZtv6rb454,28
455,ZptS1bHkNQ455,21
456,0bW1jsjlvo456,31
457,f8ElEECYGu457,55
458,M13584lM27458,27
459,5CwBqNvppm459,51
460,r47iQOSEsF460,94
461,RkXz07hzD1461,45
462,jWVBZgyu7s462,88
463,StSWyhpf10463,73
464,g6gElWtDvJ464,37
465,ekYKdXaFJa465,44
466,hFIi30C65y466,16
467,EFSjUaow1x467,10
468,9NZBA8wNO9468,75
469,DnsfzqnAJR469,50
470,4WdhrolScp470,83
471,rY0xm9BGd7471,15
472,EZPhtlPAIZ472,9
473,kyUEwqFi2h473,68
474,vzwPAQhcXo474,39
475,qrWWkIAapC475,57
476,Ryk1aBPsMz476,87
477,NXIVg4WpHZ477,44
478,Zb3FT9Fsic478,66
479,inguuX1EB8479,8
480,KdF3eR1It5480,18
481,uFCF1Rg5lx481,48
482,YLTcdQSDBB482,76
483,lKq6VYdafT483,37
484,Kgqkg4Obrn484,51
485,ENKIMkYjyR485,75
486,V2iLDS8H5N486,84
487,mukEuUQYGU487,21
488,KX5qdOhsBb488,70
489,4igHLhoGdB489,6
490,ZJ2l7JSYqS490,54
491,zA4tLyMWPs491,21
492,KGF46kBi1B492,19
493,mpQKKySwoy493,4
494,Ra7YaKxeA6494,17
495,o5FYpyFzVU495,28
496,oQNAd5BSlU496,64
497,ckn4FqxRi2497,37
498,4H4BuuloKo498,57
499,BsGJbCNxMF499,52
500,4RzWx4hvhq500,97
501,aeEACiPSdH501,54
502,1VUANJLudX502,51
503,aeYU1K6E3I503,45
504,HhPI3Z8FH4504,47
505,XEhqe7adSW505,72
506,Kn4WR158Oi506,41
507,0hiHoGnPA8507,64
508,02Dgin6J7H508,85
509,7DXcgUxb87509,15
510,YzmnD664gr510,34
511,Wsv1xgThjX511,90
512,xpQKp4ohju512,63
513,LBOhl50zXL513,46
514,ANHzS0CZoU514,37
515,tSaBwpn9A3515,20
516,3UY91V2CFk516,78
517,BQ4bShmm4O517,6
518,SL9c69bL6k518,53
519,yBsw6HnXJS519,64
520,qAoeIa6jHc520,56
521,gVzkQEj1xO521,63
522,JXEto4vFwB522,55
523,7WaQKnbMTN523,45
524,hgNWQALuJJ524,44
525,48cIgf6RJg525,59
526,lmpymJhzjr526,23
527,Q5npHVsn7g527,89
528,icz284Pbez528,91
529,j0QA6ndVow529,45
530,tL352wxW2Z530,65
531,gMEOzDsYzz531,81
532,69qohiuSw5532,35
533,YBQobC0pjE533,71
534,oKI7st3R2d534,36
535,d3qrJg7Zxf535,9
536,Tm7iWVswec536,76
537,BDsL3QTqws537,63
538,Y4z3Vzkrq9538,80
539,klJ2xB9ZRL539,23
540,Fd8LuQ0Hos540,64
541,9hwt8XWahI541,29
542,TGGZKLQMQp542,36
543,xawlMmEfyj543,99
544,iog1jfePv6544,69
545,ThXpXaACOI545,20
546,WvKwuvfriA546,19
547,a7SOxhmoRA547,91
548,szbpHuUtVL548,92
549,ffnFZVGrXN549,4
550,8OCeFltmaO550,85
551,gvWyd2vwp8551,99
552,tKbYIJ9tzN552,49
553,DV28b0orej553,64
554,HKlgcN7sZv554,76
555,xDNlFLN4vg555,84
556,qvVD2H4FGE556,66
557,XhAaxDYWxP557,98
558,CY39wIN0Us558,1
559,UtI3VGV57b559,44
560,vao4yWknm4560,50
561,GT1XhkGXTl561,9
562,ihDO0vvdvW562,76
563,bZjl2ClM2F563,23
564,B29fI8lCfz564,89
565,bSKlJz7HI1565,95
566,0eFL6MYSpY566,46
567,blE19X84kn567,77
568,lfrlFhtMuF568,68
569,cMriz3rmTe569,29
570,P70IUCOnEj570,64
571,7OQNzHiOMR571,73
572,nPkrKW3YMa572,72
573,5z2UdwkXKo573,24
574,5moyzsPeff574,6
575,k4wF98xWdS575,37
576,yfXcH51Mm0576,28
577,bVSfjiLQQn577,18
578,lCDsIFkFmy578,67
579,Qfzqacagk5579,87
580,ugZZJQlF3c580,50
581,4Lz9CFVU8d581,84
582,HI7GT5YHWr582,40
583,3ZBNCiPAbX583,77
584,iTUwlNKBNo584,77
585,kkXjP9av7l585,19
586,0JWQE50v26586,85
587,Jl9L4FZwA5587,39
588,kwNowFFtD9588,74
589,Ee0f9YCQSK589,8
590,ObXt5lejNQ590,36
591,fM0hLxzYHs591,74
592,V2BX5I6imE592,39
593,RrVdBQcJS3593,44
594,Lfi0LUh9XS594,61
595,uj7zWtCbQG595,37
596,agQ8X6l90f596,48
597,78DqlwNAeJ597,31
598,bPySNeKT4Q598,22
599,XP2kwh7LM4599,41
600,SnkSFH66J3600,69
601,ibzyACuWEg601,52
602,XYCbKXQlVO602,24
603,RiHLqYmLnJ603,15
604,WWLt9E2lob604,10
605,P2njUL4rnW605,94
606,GKOOQkNfbf606,23
607,RSSPgAZhtt607,47
608,N2kQK4X2za608,15
609,yyzVUPlQGJ609,6
610,mgtJfP5GEp610,11
611,oFnEeEexMG611,85
612,Dy4wDlxGQj612,36
613,Q5smtbOBld613,21
614,1w7JZVKqpy614,82
615,WPGzqzGdK9615,77
616,NWnEW1lBhM616,17
617,pc4eZJzbMK617,7
618,sWbCOVwKVQ618,34
619,MgfGzrgXHt619,22
620,A7L6HOyttI620,67
621,g7INKxF7k3621,25
622,0T8hQUADED622,0
623,IYAL6lLdzB623,96
624,0Fwo1ttVlQ624,92
625,ahm4xQ9FmK625,60
626,BKvCUQZzvV626,69
627,nwqZ76PROP627,54
628,JPYIZDr15B628,35
629,PFLAi1uHjB629,95
630,mIIzKi43Sz630,2
631,zdTromE3Kr631,81
632,wIEnYVPKQi632,85
633,1yK7vO5B9S633,12
634,Ztalnc1iEn634,72
635,J9Ggkys6En635,48
636,gf8waRi0qu636,62
637,uRnDrLpP6k637,21
638,kkTLijLdtT638,12
639,GyikfL7lTY639,96
640,DD8xVnFzbS640,64
641,2zgWqAzJR9641,92
642,oNI5VxhLoz642,6
643,Clq05MgA5N643,20
644,b9WmUUnb4S644,98
645,znPIsfRNxL645,61
646,t6X46dn09Q646,63
647,FuDT1ofaA0647,8
648,UeDIycyoX5648,22
649,v7P8yDGKQP649,0
650,3zYk2cs2DQ650,78
651,mW8Ud9Nmy2651,94
652,ABz1ZehA2J652,44
653,7lMdVIDKNI653,64
654,jK56jFPTnP654,92
655,yPgs3ynFcI655,82
656,ax5Fb62RVs656,58
657,8d7Sv1nTLQ657,18
658,GKkrTSiV99658,98
659,CBQaRqvheR659,29
660,oq9KjE5qyF660,72
661,P0O8a1jV5k661,1
662,24q4VgppLU662,39
663,bRahXFDsbi663,90
664,qxY6xAb0pk664,5
665,OYLWnHtq44665,47
666,nK4wrhmZDi666,78
667,fQaowPOUkz667,20
668,QEqcfRu08f668,33
669,47ihQIwXFU669,14
670,gRx62lyY2L670,66
671,sCuWUGVdLX671,17
672,zBxiZCtIJJ672,17
673,Cf8qCLMty4673,15
674,NX4rrpD5EH674,94
675,wOVxmhkLig675,41
676,97eVaeumdA676,69
677,02moBSSGcE677,86
678,357s9KgS0Z678,64
679,6TbAf5eTNx679,4
680,PNIJZusm4H680,87
681,PSmXvZzeaY681,61
682,xJDmPWxbkY682,12
683,AGM92fB6vs683,99
684,gpoY3D7PYU684,90
685,1ZUjRjvEdY685,14
686,dvO7F0oqvV686,69
687,WVMnbQY9vC687,91
688,575aybbwUH688,6
689,10Jfp98SXO689,37
690,0xwvax5JFA690,63
691,vMxz1sgE2X691,0
692,rCUD3zFUV4692,36
693,xdNpra396D693,11
694,klWWIn1KqB694,68
695,fSx5RNMTnk695,61
696,kAhJQdiai3696,16
697,9JsTJUSa5A697,66
698,kWHEPjGXwp698,20
699,8ocsDvD6yO699,70
700,PcNKLq60F2700,92
701,2UCBnplOSy701,55
702,1dmKcVwzzE702,47
703,uz9ujhpcfL703,75
704,1gNUaxaRHU704,28
705,jZquTFnlxs705,69
706,KA8GC8NEQj706,22
707,YqXCLb9bMK707,72
708,OHhpmKd8e2708,39
709,WGGEOCXtJ0709,50
710,Ugp8hnYcqs710,42
711,5daTm5h87i711,79
712,z4VIhFZXdF712,13
713,ashV4rGYVI713,90
714,UIL0TxdPsk714,14
715,GN2CduFrd6715,47
716,DKdh4KvwiS716,98
717,vWjvLVro7w717,89
718,cqMQE0cwvn718,55
719,4cTwbeWehl719,97
720,SFCOKL7u9o720,98
721,S5cSWkq0gF721,13
722,XzEo4fJheV722,24
723,hqZGR7Cxr7723,69
724,8X31ZWfRoi724,72
725,PXS21TWXP5725,48
726,PACwJXARyT726,97
727,bPbLzLZT9H727,33
728,Iz25BMEFD4728,59
729,VdGMnDm1fe729,47
730,0ouLUK8JOM730,17
731,I6GlKmF5YD731,83
732,vW7w8Gc1nW732,15
733,QzJC8Cfsb6733,5
734,INLyf3xbZY734,88
735,wfb6Z4Y5uX735,73
736,nqgIpIH2Wx736,78
737,t24sEtCkOW737,2
738,S8pWjbrVcQ738,78
739,XyF21bukpr739,46
740,TeXYN1dmcp740,12
741,n76ZjPMZ5j741,59
742,UzJD2G5kZL742,50
743,kcn9wv2oVF743,6
744,GcnRWqk8B7744,30
745,WCxaVwFYqs745,49
746,qrkhfJo8fn746,40
747,JoHAvu9Lmm747,96
748,W4JYn22KPp748,78
749,oI558FxPFb749,31
750,82aMY3LTd2750,52
751,U2qwSQcdfK751,18
752,ZMfrg0hwFs752,72
753,VS20wegGX9753,28
754,Muh30CBRZv754,39
755,ljxdKdzy8l755,88
756,9T1bm6LCZh756,13
757,Xp62bUiLaR757,14
758,EfJWiBjSbw758,5
759,gq5QVzwE4M759,95
760,xzHotzZ3oB760,30
761,AKfdWP5BNI761,16
762,PRuS0rVwgM762,95
763,kbivSFaks3763,43
764,sKf5YLJnxK764,68
765,lqZuwiBWPX765,4
766,Y9WS6cTVMP766,2
767,KILUxJ2Spz767,60
768,NuPAVEErWH768,80
769,Xjdnd9pfcz769,33
770,PVi67UuOAR770,14
771,q6HciiIRO3771,98
772,bTGadvD8nm772,30
773,pyoluqFBk5773,14
774,9cyLSIHNUY774,0
775,m8L2X2Womo775,46
776,neEqoNgaPU776,28
777,qUIgdLWKxV777,1
778,5KSc6wwibA778,83
779,0FOlEp0UIa779,98
780,EuELoaO2fn780,87
781,EFSAybCyZ1781,14
782,KtjdEmIB1z782,23
783,aSy0E49ZI7783,22
784,0JatTVVKiA784,9
785,Pk4SwhwGjL785,3
786,FJlgIkKUaP786,97
787,HuIuHute6e787,16
788,9c6aAj8xwZ788,37
789,3TJlrpLjha789,32
790,nGCG1v6kW3790,75
791,tQLePB8ASb791,59
792,0TKVaxdauz792,61
793,KaGjZ30oWs793,77
794,hAy59M5o2Y794,29
795,PmLOPZmXAq795,20
796,MVkvqidtbp796,97
797,cjRBm3Pr44797,64
798,O8SaI2SeF7798,73
799,RGT5jRm53E799,94
800,oGMF126bUR800,37
801,LJmet9s3Ck801,15
802,LD8sQGBsuM802,8
803,PsyFyrbtyH803,4
804,LmmvTjVT4C804,0
805,aGcGW6yH8b805,25
806,LiveyB28UQ806,51
807,exNvFD8nfD807,40
808,NrmeS01PrD808,48
809,oB2b41hy4K809,29
810,tEIQuJQu9i810,56
811,Eee5dC1ZHF811,87
812,tizCQnUIkM812,71
813,dWcl4Z0sgJ813,93
814,YEVjRADtYf814,56
815,1P6TvVNJBi815,92
816,Tb2B22Lm8S816,59
817,yApYDovl4U817,38
818,Y4GCQ8uepc818,68
819,s92PY866dW819,39
820,Mv1zzB67nx820,82
821,EyEzteO4Rc821,0
822,WMoyC8Whqy822,28
823,L3fcQDIUAm823,17
824,ieAPFsRLwB824,31
825,8NQ1G1aWzm825,33
826,pcaSCrxjgs826,63
827,3Pe1OlEt11827,39
828,zPCG6SLayD828,45
829,zjnwuLTyX0829,80
830,xe157VsrR2830,14
831,RJVS17Rg1U831,32
832,jUvi0y7NIf832,17
833,JjWFaZrEKE833,80
834,2ldvKhey5r834,1
835,4AvEA1pDdf835,95
836,vx3IZPIoYo836,58
837,9v72Zfm7os837,38
838,VPmZQwx9YO838,73
839,cYqpimqlL8839,55
840,EE6HrImzas840,54
841,v3EBRFhAhW841,82
842,pGz3Q1v1Hs842,31
843,Un1vtwRpvw843,6
844,XRzNLHPGlr844,13
845,Cp1rIT4qqQ845,11
846,3g6WcLngKf846,18
847,AFHB270Isu847,33
848,cMNUJTBeDQ848,7
849,Eqe8RLCA4j849,24
850,28BWF7KaQj850,31
851,dmB1l32nvc851,96
852,SmNhA6ufDn852,6
853,8pdPfy0Vs5853,85
854,h3mjZy9NwW854,81
855,pHetpdZGmq855,30
856,nyvrdoff7V856,73
857,KcklWxcqLt857,81
858,F3if6eI0kA858,41
859,E66AggffXM859,5
860,pJKHs0DHav860,73
861,GDyN5LGMWM861,94
862,teJ3AP2TSd862,78
863,8Ir3y0XvrD863,86
864,mgh5RAgmVC864,98
865,NmuaeyjaUT865,9
866,psEsY6zjNY866,70
867,odNFtxZhPe867,80
868,JpOGryrRut868,43
869,6ZbomGKugm869,74
870,MwSwodVm1z870,17
871,cYEliov9JB871,22
872,0Sk9TigKtg872,47
873,YDstalcIHh873,19
874,levFzaU5gK874,10
875,EqIUjOHnGI875,46
876,nMamT1QxgE876,38
877,JF6UH96mZV877,11
878,BESFYVwOkU878,71
879,JSIfTKCANk879,84
880,xqSOJTf67M880,55
881,uFu50Ltebx881,57
882,hvgCXoHnGM882,85
883,Vfr8JFnrok883,9
884,VQMEQrNPb0884,12
885,czWF9kX0bP885,61
886,jEHTZr9m3d886,1
887,kKb25Af2iC887,58
888,BypDuesErk888,49
889,9tLCsLfgM2889,22
890,u1F1zRXb5y890,8
891,mE5BCoBI9T891,16
892,7yIi6I4JGG892,6
893,WY2e0GYric893,34
894,4sNrP4Ssvq894,92
